request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14."
request_89,9726587.36,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4,768,746.67, starting 2025-11-18."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560.00 today."
request_91,477.74,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,"Pay EUR 1,927.20 in full on 2024-11-15."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034.00 today."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.20 today."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572.00 today.
request_95,19435.41,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000.00 request. None of the available options keeps the required minimum balance protected."
request_96,76300.97,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31,269.33, starting 2026-01-10."
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19."
request_98,7681.09,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Pay ZAR 27,148.00 in full on 2025-10-15."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062.00 today."
request_100,27144.86,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 2024-06-13."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500.00 today."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05."
request_103,6109.2,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300.00 request. None of the available options keeps the required minimum balance protected."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204.00 today."
request_105,48091.24,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 53,500.00 request. None of the available options keeps the required minimum balance protected."
request_106,1064.54,affordable_later,wait,2025-01-15:2207.7,2025-01-15,none,"Pay EUR 2,207.70 in full on 2025-01-15."
request_107,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,534.40 request. None of the available options keeps the required minimum balance protected."
request_108,4947.66,affordable_later,wait,2026-07-24:55308,2026-07-24,none,"Pay ZAR 55,308.00 in full on 2026-07-24."
request_109,682.81,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000.00 today."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.70 today.
request_113,31465.05,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Pay INR 36,500.00 in full on 2026-09-15."
request_114,61179.3,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-15,stop:event_10558,"Apply spending changes (stop:event_10558), then pay INR 65,300.00 today."
request_115,16371.71,affordable_later,wait,2024-10-15:80500,2024-10-15,none,"Pay INR 80,500.00 in full on 2024-10-15."
request_116,9701.48,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200.00 request. None of the available options keeps the required minimum balance protected."
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880.00 today.
request_118,711.51,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-01-15,none,"Use 3 installments of EUR 255.87, starting 2024-12-07."
request_119,70146.78,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70,546.67, starting 2025-05-18."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000.00 today."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.60 today.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000.00 today."
request_124,1498.4,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"Use 3 installments of EUR 1,076.12, starting 2024-06-11."
request_125,6468.0,affordable_with_plan,full_payment,2025-11-06:6468,2025-11-06,reduce_to:event_11602:223.3,"Apply spending changes (reduce_to:event_11602:223.3), then pay ZAR 6,468.00 today."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600.00 today."
request_127,11086.27,affordable_later,wait,2024-09-15:23980,2024-09-15,none,"Pay ZAR 23,980.00 in full on 2024-09-15."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168.00 today."
request_129,154.54,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. None of the available options keeps the required minimum balance protected."
request_130,461.48,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,"Pay USD 1,978.80 in full on 2025-02-15."
request_131,1212.85,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"Use 3 installments of USD 643.14, starting 2025-05-06."
request_132,379.86,affordable_with_plan,full_payment,2026-01-05:379.86,2026-01-05,reduce_to:event_12142:26,"Apply spending changes (reduce_to:event_12142:26), then pay USD 379.86 today."
request_133,5432395.72,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15,770,000.00 request. None of the available options keeps the required minimum balance protected."
request_134,6089179.49,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,"Pay IDR 21,831,000.00 in full on 2025-08-15."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.80 today.
request_136,522.67,affordable_with_plan,full_payment,2024-06-03:560.4,2024-06-15,reduce_to:event_12498:27.2,"Apply spending changes (reduce_to:event_12498:27.2), then pay USD 560.40 today."
request_137,29529.73,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100.00 in full on 2026-01-15."
request_138,1117.9,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-15,none,"Use 3 installments of EUR 435.74, starting 2026-04-07."
request_139,1879.99,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07."
request_140,2897.39,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832.00 request. None of the available options keeps the required minimum balance protected."
request_141,27519.92,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600.00 request. None of the available options keeps the required minimum balance protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.60 today."
request_143,3203.98,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584.00 in full on 2025-07-15."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today.
request_145,51429.19,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,"Use 3 installments of INR 75,365.33, starting 2024-03-20."
request_146,25072.28,affordable_later,wait,2025-10-15:449400,2025-10-15,none,"Pay INR 449,400.00 in full on 2025-10-15."
request_147,548.58,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Use 3 installments of EUR 391.63, starting 2026-04-08."
request_148,8630.87,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,"Use 3 installments of ZAR 7,710.56, starting 2024-06-14."
request_149,25593.85,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12,706.03, starting 2025-11-18."
request_150,259.04,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-02-15,none,"Use 3 installments of EUR 171.98, starting 2026-01-06."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000.00 today."
request_152,12223.57,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,"Use 3 installments of ZAR 4,812.43, starting 2025-02-12."
request_153,220.63,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. None of the available options keeps the required minimum balance protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500.00 today."
request_156,10841.2,affordable_later,wait,2026-05-15:43076,2026-05-15,none,"Pay ZAR 43,076.00 in full on 2026-05-15."
request_157,5120935.81,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000.00 in full on 2024-05-15."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 2025-08-07."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398.00 today."
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13."
request_161,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,204,000.00 request. None of the available options keeps the required minimum balance protected."
request_162,4603254.21,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000.00 request. None of the available options keeps the required minimum balance protected."
request_163,10173546.24,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-15,none,"Use 3 installments of IDR 6,692,053.33, starting 2024-09-10."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240.00, starting 2025-02-11."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600.00 today."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 2024-12-03."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802.00 today."
request_168,34348.15,affordable_with_plan,partial_payment,2026-01-07:34348.15|2026-01-15:15031.85,2026-01-15,none,"Pay INR 34,348.15 today and remaining INR 15,031.85 on 2026-01-15."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976.00 today."
request_170,32089177.2,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12,804,480.00, starting 2025-08-06."
request_171,114.07,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. None of the available options keeps the required minimum balance protected."
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5,304.00, starting 2024-06-05."
request_173,67107.94,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39,173.33, starting 2025-11-21."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.30 today."
request_176,374.59,affordable_later,wait,2025-02-24:1239.7,2025-02-24,none,"Pay EUR 1,239.70 in full on 2025-02-24."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Pay USD 1,017.60 today."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 2024-12-07."
request_179,22556483.76,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000.00 in full on 2025-07-15."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500.00 today."
request_181,285.78,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. None of the available options keeps the required minimum balance protected."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714.00 today."
request_183,24607253.28,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9,313,546.67, starting 2026-04-10."
request_184,15407.29,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900.00 request. None of the available options keeps the required minimum balance protected."
request_185,479.25,affordable_later,wait,2026-01-15:1257.3,2026-01-15,none,"Pay EUR 1,257.30 in full on 2026-01-15."
request_186,11811.63,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Pay ZAR 26,554.00 in full on 2026-03-15."
request_187,45576.87,affordable_later,wait,2024-10-15:187500,2024-10-15,none,"Pay INR 187,500.00 in full on 2024-10-15."
request_188,203.83,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,464.00 request. None of the available options keeps the required minimum balance protected."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.40 today.
request_190,691.68,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,"Pay EUR 2,557.50 in full on 2024-12-15."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.40 today.
request_192,297.26,affordable_later,wait,2026-04-24:2046,2026-04-24,none,"Pay USD 2,046.00 in full on 2026-04-24."
request_193,93.67,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,"Use 3 installments of EUR 420.23, starting 2024-03-21."
request_194,36574.27,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Pay INR 132,800.00 in full on 2025-10-23."
request_195,1042.55,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,"Use 3 installments of EUR 405.74, starting 2026-01-09."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.30 today.
request_197,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 50,939,000.00 request. None of the available options keeps the required minimum balance protected."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800.00 today."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 2024-09-07."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000.00 today."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000.00 today."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900.00 today."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 2025-05-10."
request_204,578.46,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 today.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000.00 today."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03."
request_207,9190.41,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830.00 in full on 2026-07-15."
request_208,3665821.45,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000.00 in full on 2024-06-15."
request_209,3034.53,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914.00 request. None of the available options keeps the required minimum balance protected."
request_210,1115.14,affordable_with_plan,partial_payment,2026-04-06:1115.14|2026-04-15:244.88,2026-04-15,none,"Pay USD 1,115.14 today and remaining USD 244.88 on 2026-04-15."
request_211,416.11,affordable_later,wait,2024-09-15:1788.6,2024-09-15,none,"Pay EUR 1,788.60 in full on 2024-09-15."
request_212,5178175.28,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71,934,000.00 request. None of the available options keeps the required minimum balance protected."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1,165.63, starting 2026-01-21."
request_214,62632.79,affordable_with_plan,partial_payment,2024-12-04:62632.79|2024-12-15:7117.21,2024-12-15,none,"Pay INR 62,632.79 today and remaining INR 7,117.21 on 2024-12-15."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 2025-05-09."
request_216,710.77,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,"Pay USD 3,332.40 in full on 2026-09-15."
request_217,20893.14,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"Use 3 installments of ZAR 12,889.07, starting 2024-03-19."
request_218,28981774.81,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"Use 3 installments of IDR 21,195,893.33, starting 2025-08-07."
request_219,1444.02,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use 3 installments of EUR 580.01, starting 2026-04-07."
